Jul.Day,YYYY/MM/DD,Wdy,IDR/AUD
2458009,9/12/2017,Tue,10608.7
2458010,9/13/2017,Wed,10590.2
2458011,9/14/2017,Thu,10579.4
2458012,9/15/2017,Fri,10602.2
2458015,9/18/2017,Mon,10602.2
2458016,9/19/2017,Tue,10683.7
2458017,9/20/2017,Wed,10747.8
2458018,9/21/2017,Thu,10523.7
2458019,9/22/2017,Fri,10554.9
2458022,9/25/2017,Mon,10544.1
2458023,9/26/2017,Tue,10602.2
2458024,9/27/2017,Wed,10603.2
2458025,9/28/2017,Thu,10608.7
2458026,9/29/2017,Fri,10519.4
2458029,10/2/2017,Mon,10639.2
2458030,10/3/2017,Tue,10630.5
2458031,10/4/2017,Wed,10539.8
2458032,10/5/2017,Thu,10525.9
2458033,10/6/2017,Fri,10475.3
2458037,10/10/2017,Tue,10464.5
2458038,10/11/2017,Wed,10574
2458039,10/12/2017,Thu,10604.4
2458040,10/13/2017,Fri,10697.9
2458043,10/16/2017,Mon,10589.3
2458044,10/17/2017,Tue,10575.2
2458045,10/18/2017,Wed,10638.1
2458046,10/19/2017,Thu,10675
2458047,10/20/2017,Fri,10598.9
2458050,10/23/2017,Mon,10612.9
2458051,10/24/2017,Tue,10481.9
